MCU,SE,IBGE,UNIDADE,ENDERECO,COMPLEMENTO,NUMERO,BAIRRO,CIDADE,MUNICIPIO,UF,CEP
22887,SC,4205001,AC DIONISIO CERQUEIRA,RUA PRESIDENTE VARGAS,0,619,CENTRO,DIONISIO CERQUEIRA,DIONISIO CERQUEIRA,SC,89950970
22935,SC,4205407,AC DIAS VELHO,RUA NOSSA SENHORA DO ROSARIO,0,78,JARDIM ATLANTICO,FLORIANOPOLIS,FLORIANOPOLIS,SC,88095971
22912,SC,4204905,AC DESCANSO,RUA JOSE BONIFACIO,0,19,CENTO,DESCANSO,DESCANSO,SC,89910970
22742,SC,4204806,AC CURITIBANOS,RUA CORONEL MAXIMINO MORAES,0,396,CENTRO,CURITIBANOS,CURITIBANOS,SC,89520970
63383,SC,4204756,AC CUNHATAI,AVENIDA VINTE E NOVE DE SETEMBRO,SALA 02,447,CENTRO,CUNHATAI,CUNHATAI,SC,89886971
22885,SC,4204707,AC CUNHA PORA,RUA SETE DE SETEMBRO,0,1039,CENTRO,CUNHA PORA,CUNHA PORA,SC,89890970
22740,SC,4204608,AC CRICIUMA,AVENIDA GETULIO VARGAS,0,290,CENTRO,CRICIUMA,CRICIUMA,SC,88801970
22753,SC,4204509,AC CORUPA,RUA JARAGUA,0,35,CENTRO,CORUPA,CORUPA,SC,89278970
22828,SC,4204558,AC CORREIA PINTO,RUA GETULIO VARGAS,0,292,CENTRO,CORREIA PINTO,CORREIA PINTO,SC,88535970
22884,SC,4204400,AC CORONEL FREITAS,RUA IGUASSU,0,872,CENTRO,CORONEL FREITAS,CORONEL FREITAS,SC,89840970
37640,SC,4204350,AC CORDILHEIRA ALTA,RUA PATROCINIO DAL,SALAS 02,244,CENTRO,CORDILHEIRA ALTA,CORDILHEIRA ALTA,SC,89819970
22737,SC,4204301,AC CONCORDIA,RUA ADOLFO KONDER,0,72,CENTRO,CONCORDIA,CONCORDIA,SC,89700970
22940,SC,4204251,AC COCAL DO SUL,RUA ADAO BOSA,0,20,CENTRO,COCAL DO SUL,COCAL DO SUL,SC,88845970
22917,SC,4205407,AC CIDADE UNIVERSITARIA,RUA NIBERTO HAASE,LOJAS 4 E 5,100,SANTA MONICA,FLORIANOPOLIS,FLORIANOPOLIS,SC,88035972
22735,SC,4204202,AC CHAPECO,PRACA CORONEL BERTASO,E,154,CENTRO,CHAPECO,CHAPECO,SC,89801970
22922,SC,4204152,AC CELSO RAMOS,RUA DOM DANIEL HOSTIN,0,960,CENTRO,CELSO RAMOS,CELSO RAMOS,SC,88598970
22883,SC,4204103,AC CAXAMBU DO SUL,RUA CRISTIANO PEROZZA,0,149,CENTRO,CAXAMBU DO SUL,CAXAMBU DO SUL,SC,89880970
22738,SC,4204004,AC CATANDUVAS,RUA SEVERIANO GUERREIRO,0,847,CENTRO,CATANDUVAS,CATANDUVAS,SC,89670970
22704,SC,4205407,AC CAPOEIRAS,AVENIDA GOVERNADOR IVO SILVEIRA,(SUPERMERCADO ANGELONI),2445,CAPOEIRAS,FLORIANOPOLIS,FLORIANOPOLIS,SC,88085970
423185,SC,4203956,AC CAPIVARI DE BAIXO,RUA MACHADO DE ASSIS,LOJA 3,542,CENTRO,CAPIVARI DE BAIXO,CAPIVARI DE BAIXO,SC,88745971
22795,SC,4203907,AC CAPINZAL,RUA PROF WANDA MARIA MEYER,SALAS 1,25,CENTRO,CAPINZAL,CAPINZAL,SC,89665970
424851,SC,4203253,AC CAPAO ALTO,RUA EUCLIDES VARGAS,0,149,CENTRO,CAPAO ALTO,CAPAO ALTO,SC,88548971
22730,SC,4203808,AC CANOINHAS,RUA FRANCISCO DE PAULA PEREIRA,0,450,CENTRO,CANOINHAS,CANOINHAS,SC,89460970
22746,SC,4203709,AC CANELINHA,RUA JOAQUIM JOSE SANTANA,0,2215,CENTRO,CANELINHA,CANELINHA,SC,88230970
22728,SC,4203600,AC CAMPOS NOVOS,RUA MARECHAL FLORIANO PEIXOTO,0,237,CENTRO,CAMPOS NOVOS,CAMPOS NOVOS,SC,89620970
22821,SC,4203402,AC CAMPO BELO DO SUL,RUA QUINZE DE NOVEMBRO,0,122,CENTRO,CAMPO BELO DO SUL,CAMPO BELO DO SUL,SC,88580970
22713,SC,4203303,AC CAMPO ALEGRE,AVENIDA GETULIO VARGAS,0,116,CENTRO,CAMPO ALEGRE,CAMPO ALEGRE,SC,89294970
22712,SC,4203204,AC CAMBORIU,RUA JOSE FRANCISCO BERNARDES,0,567,CENTRO,CAMBORIU,CAMBORIU,SC,88340970
22881,SC,4203105,AC CAIBI,AVENIDA DA PATRIA,0,570,CENTRO,CAIBI,CAIBI,SC,89888970
58847,SC,4205407,AC CACHOEIRA DO BOM JESUS,AVENIDA LUIZ BOITEUX PIAZZA,0,2592,CACHOEIRA DO BOM JESUS,FLORIANOPOLIS,FLORIANOPOLIS,SC,88054971
22794,SC,4203006,AC CACADOR,AVENIDA BARAO DO RIO BRANCO,0,795,CENTRO,CACADOR,CACADOR,SC,89500970
22724,SC,4202909,AC BRUSQUE,RUA LAURO MULLER,0,30,CENTRO,BRUSQUE,BRUSQUE,SC,88353970
22775,SC,4202800,AC BRACO DO NORTE,AVENIDA FELIPE SCHMIDT,0,1331,CENTRO,BRACO DO NORTE,BRACO DO NORTE,SC,88750970
22711,SC,4202701,AC BOTUVERA,RUA VEREADOR PEDRO MERIZIO,0,15,CENTRO,BOTUVERA,BOTUVERA,SC,88295970
22939,SC,4202453,AC BOMBINHAS,AVENIDA FALCAO,0,1001,CENTRO,BOMBINHAS,BOMBINHAS,SC,88215970
22820,SC,4202602,AC BOM RETIRO,RUA MAJOR GENEROSO,0,182,CENTRO,BOM RETIRO,BOM RETIRO,SC,88680970
22818,SC,4202503,AC BOM JARDIM DA SERRA,RUA MANOEL CECILIO RIBEIRO,0,30,CENTRO,BOM JARDIM DA SERRA,BOM JARDIM DA SERRA,SC,88640970
22720,SC,4202404,AC BLUMENAU,RUA CURT HERING,0,315,CENTRO,BLUMENAU,BLUMENAU,SC,89010971
22745,SC,4202305,AC BIGUACU,RUA SETE DE SETEMBRO,0,110,CENTRO,BIGUACU,BIGUACU,SC,88160970
22705,SC,4202206,AC BENEDITO NOVO,RUA QUIRINO LONGO,0,150,CENTRO,BENEDITO NOVO,BENEDITO NOVO,SC,89124970
62217,SC,4202156,AC BELMONTE,RUA PRESIDENTE VENCESLAU BRAZ,0,60,CENTRO,BELMONTE,BELMONTE,SC,89925971
22703,SC,4202107,AC BARRA VELHA,AVENIDA THIAGO AGUIAR,0,29,CENTRO,BARRA VELHA,BARRA VELHA,SC,88390970
