MCU,SE,IBGE,UNIDADE,ENDERECO,COMPLEMENTO,NUMERO,BAIRRO,CIDADE,MUNICIPIO,UF,CEP
56442,ACR,1200708,AC XAPURI,RUA 24  DE  JANEIRO,0,270,CENTRO,XAPURI,XAPURI,AC,69930970
56606,ACR,1200609,AC TARAUACA,RUA CORONEL JUVENCIO DE MENEZES,0,158,CENTRO,TARAUACA,TARAUACA,AC,69970970
56533,ACR,1200500,AC SENA MADUREIRA,RUA DOM JULIO MATIOLLI,0,290,CENTRO,SENA MADUREIRA,SENA MADUREIRA,AC,69940970
56567,ACR,1200435,AC SANTA ROSA DO PURUS,RUA CORONEL JOSE FERREIRA,0,1498,CENTRO,SANTA ROSA DO PURUS,SANTA ROSA DO PURUS,AC,69955970
58272,ACR,1200427,AC RODRIGUES ALVES,AVENIDA PRESIDENTE VARGAS,0,,CENTRO,RODRIGUES ALVES,RODRIGUES ALVES,AC,69985970
58273,ACR,1200393,AC PORTO WALTER,RUA PROJETADA,0,,CENTRO,PORTO WALTER,PORTO WALTER,AC,69982970
58271,ACR,1200807,AC PORTO ACRE,RUA MARGARIDAS,0,131,CENTRO,PORTO ACRE,PORTO ACRE,AC,69927970
56416,ACR,1200385,AC PLACIDO DE CASTRO,AV DIAMANTINO AUGUSTO DE MACEDO,0,580,CENTRO,PLACIDO DE CASTRO,PLACIDO DE CASTRO,AC,69928970
58274,ACR,1200351,AC MARECHAL THAUMATURGO,RUA 5 DE NOVEMBRO,0,5125,CENTRO,MARECHAL THAUMATURGO,MARECHAL THAUMATURGO,AC,69983970
56542,ACR,1200344,AC MANOEL URBANO,RUA VALERIO CALDAS MAGALHAES,0,92,CENTRO,MANOEL URBANO,MANOEL URBANO,AC,69950970
56629,ACR,1200336,AC MANCIO LIMA,RUA ALBERTO GADELHA,0,333,CENTRO,MANCIO LIMA,MANCIO LIMA,AC,69990970
58267,ACR,1200328,AC JORDAO,RUA ROMILDO MAGALHAES,0,,CENTRO,JORDAO,JORDAO,AC,69975970
63038,ACR,1200401,AC JOAO EDUARDO,AVENIDA SOBRAL,L 152  Q 252,960,GLORIA,RIO BRANCO,RIO BRANCO,AC,69911970
56598,ACR,1200302,AC FEIJO,AVENIDA PLACIDO DE CASTRO,0,871,CENTRO,FEIJO,FEIJO,AC,69960970
58269,ACR,1200252,AC EPITACIOLANDIA,AVENIDA SANTOS DUMONT,0,160,CENTRO,EPITACIOLANDIA,EPITACIOLANDIA,AC,69934970
56622,ACR,1200203,AC CRUZEIRO DO SUL,RUA REGO BARROS,0,73,CENTRO,CRUZEIRO DO SUL,CRUZEIRO DO SUL,AC,69980970
58268,ACR,1200179,AC CAPIXABA,AVENIDA GOVERNADOR EDMUNDO PINTO,0,711,CENTRO,CAPIXABA,CAPIXABA,AC,69931970
56525,ACR,1200138,AC BUJARI,RUA EXPEDITO PEREIRA DE SOUZA,0,971,CENTRO,BUJARI,BUJARI,AC,69926970
56505,ACR,1200104,AC BRASILEIA,AVENIDA PREFEITO ROLANDO MOREIRA,0,170,CENTRO,BRASILEIA,BRASILEIA,AC,69932970
56513,ACR,1200054,AC ASSIS BRASIL,RUA DOM GIOCONDO MARIA GROTTE,0,230,CENTRO,ASSIS BRASIL,ASSIS BRASIL,AC,69935970
56410,ACR,1200450,AC SENADOR GUIOMARD,AVENIDA CASTELO BRANCO,0,175,CENTRO,SENADOR GUIOMARD,SENADOR GUIOMARD,AC,69925970
56403,ACR,1200401,AC RIO BRANCO,AVENIDA EPAMINONDAS JACOME,0,2858,CENTRO,RIO BRANCO,RIO BRANCO,AC,69900970
59693,ACR,1200401,AC OCA,RUA QUINTINO BOCAIUVA,0,299,CENTRO,RIO BRANCO,RIO BRANCO,AC,69900974
56568,ACR,1200013,AC ACRELANDIA,AVENIDA PARANA,0,296,CENTRO,ACRELANDIA,ACRELANDIA,AC,69945970
1818,AL,2709400,AC VICOSA,AVENIDA FIRMINO MAIA,0,50,CENTRO,VICOSA,VICOSA,AL,57700970
1828,AL,2709202,AC TRAIPU,RUA SENADOR SERAPIAO,0,,CENTRO,TRAIPU,TRAIPU,AL,57370970
1852,AL,2709152,AC TEOTONIO VILELA,RUA JACINTO GERONIMO,0,109,CENTRO,TEOTONIO VILELA,TEOTONIO VILELA,AL,57265970
1827,AL,2709103,AC TAQUARANA,PRACA MANOEL RODRIGUES,0,72,CENTRO,TAQUARANA,TAQUARANA,AL,57640970
1804,AL,2709004,AC TANQUE DARCA,RUA DA PAZ,0,1,CENTRO,TANQUE D ARCA,TANQUE D ARCA,AL,57635970
1762,AL,2704302,AC TABULEIRO DOS MARTINS,AVENIDA DOUTOR DURVAL DE GOES MONTEIRO,0,2217,TABULEIRO DO MARTINS,MACEIO,MACEIO,AL,57061970
1847,AL,2708956,AC SENADOR RUI PALMEIRA,RUA DO COMERCIO,0,482,CENTRO,SENADOR RUI PALMEIRA,SENADOR RUI PALMEIRA,AL,57515970
1773,AL,2708907,AC SATUBA,RUA TENENTE PAULO WINTELER,0,38,LOTEAMENTO FRIDOLIN WINTELLER,SATUBA,SATUBA,AL,57120970
1837,AL,2708808,AC SAO SEBASTIAO,RUA VALDEVINO DA SILVA,0,39,CENTRO,SAO SEBASTIAO,SAO SEBASTIAO,AL,57275970
1772,AL,2708709,AC SAO MIGUEL DOS MILAGRES,RUA VEREADOR LAMENHA COUTO,0,119,CENTRO,SAO MIGUEL DOS MILAGRES,SAO MIGUEL DOS MILAGRES,AL,57940970
1811,AL,2708600,AC SAO MIGUEL DOS CAMPOS,PRACA PADRE JULIO DE ALBUQUERQUE,0,16,CENTRO,SAO MIGUEL DOS CAMPOS,SAO MIGUEL DOS CAMPOS,AL,57240970
1848,AL,2708402,AC SAO JOSE DA TAPERA,RUA 24 DE DEZEMBRO,0,65,CENTRO,SAO JOSE DA TAPERA,SAO JOSE DA TAPERA,AL,57445970
1800,AL,2708105,AC SANTANA DO MUNDAU,RUA SILVESTRE PERICLES,0,,CENTRO,SANTANA DO MUNDAU,SANTANA DO MUNDAU,AL,57840970
1807,AL,2708006,AC SANTANA DO IPANEMA,AVENIDA DOUTOR ARSENIO MOREIRA,0,358,MONUMENTO,SANTANA DO IPANEMA,SANTANA DO IPANEMA,AL,57500970
1770,AL,2707800,AC ROTEIRO,RUA JOAO PEDRO,0,,CENTRO,ROTEIRO,ROTEIRO,AL,57257970
1806,AL,2707701,AC RIO LARGO,RUA EUCLIDES AFONSO DE MELO,0,14,CENTRO,RIO LARGO,RIO LARGO,AL,57100970
1805,AL,2707602,AC QUEBRANGULO,PRACA MAJOR CICERO DE GOES MONTEIRO,0,152,CENTRO,QUEBRANGULO,QUEBRANGULO,AL,57750970
1803,AL,2707503,AC PORTO REAL DO COLEGIO,AVENIDA ENGENHEIRO GORDILHO DE CASTRO,0,236,CENTRO,PORTO REAL DO COLEGIO,PORTO REAL DO COLEGIO,AL,57290970
1802,AL,2707404,AC PORTO DE PEDRAS,RUA DOUTOR SEBASTIAO DA HORA,0,281,CENTRO,PORTO DE PEDRAS,PORTO DE PEDRAS,AL,57945970
1801,AL,2707305,AC PORTO CALVO,RUA DOUTOR ANTONIO DORTA,0,16,CENTRO,PORTO CALVO,PORTO CALVO,AL,57900970
1846,AL,2707206,AC POCO DAS TRINCHEIRAS,RUA SAO SEBASTIAO,0,95,CENTRO,POCO DAS TRINCHEIRAS,POCO DAS TRINCHEIRAS,AL,57510970
1845,AL,2707107,AC PIRANHAS,ALAMEDA GRINAURIA MIRANDA,0,49,VILA SERGIPE,PIRANHAS,PIRANHAS,AL,57465971
46279,AL,2702306,AC PINDORAMA,AVENIDA CAMACARI,0,,PINDORAMA,COLONIA PINDORAMA,CORURIPE,AL,57238975
1793,AL,2707008,AC PINDOBA,RUA DO COMERCIO,0,33,CENTRO,PINDOBA,PINDOBA,AL,57720970
1799,AL,2706901,AC PILAR,RUA LUIZ RAMOS,0,131,CENTRO,PILAR,PILAR,AL,57150970
1798,AL,2706802,AC PIACABUCU,PRACA CENTENARIO,0,,CENTRO,PIACABUCU,PIACABUCU,AL,57210970
1797,AL,2706703,AC PENEDO,AVENIDA FLORIANO PEIXOTO,0,,CENTRO,PENEDO,PENEDO,AL,57200970
1782,AL,2706604,AC PAULO JACINTO,RUA JOAO CASSIANO COSTA,0,,CENTRO,PAULO JACINTO,PAULO JACINTO,AL,57740970
1767,AL,2706505,AC PASSO DE CAMARAGIBE,RUA FERNANDES LIMA,0,64,CENTRO,PASSO DE CAMARAGIBE,PASSO DE CAMARAGIBE,AL,57930970
1858,AL,2706448,AC PARIPUEIRA,AVENIDA ANTONIO REINALDO,0,45,CENTRO,PARIPUEIRA,PARIPUEIRA,AL,57935970
51958,AL,2706422,AC PARICONHA,PRACA SAGRADO CORACAO DE JESUS,TERREO,7,CENTRO,PARICONHA,PARICONHA,AL,57475970
1795,AL,2706406,AC PAO DE ACUCAR,AVENIDA MAESTRO M BEZERRA LIMA,0,763,CENTRO,PAO DE ACUCAR,PAO DE ACUCAR,AL,57400970
1844,AL,2706208,AC PALESTINA,PRACA JOSE THOMAS NONO NETO,0,16,CENTRO,PALESTINA,PALESTINA,AL,57410970
1843,AL,2706109,AC OURO BRANCO,RUA SEBASTIAO VIEIRA DA ROCHA,0,356,CENTRO,OURO BRANCO,OURO BRANCO,AL,57525970
1825,AL,2705903,AC OLHO DAGUA GRANDE,RUA QUATORZE DE SETEMBRO,0,92,CENTRO,OLHO D AGUA GRANDE,OLHO D AGUA GRANDE,AL,57390970
1840,AL,2705804,AC OLHO DAGUA DO CASADO,RUA DO COMERCIO,0,255,CENTRO,OLHO D AGUA DO CASADO,OLHO D AGUA DO CASADO,AL,57470970
1792,AL,2705705,AC OLHO DAGUA DAS FLORES,RUA DO COMERCIO,0,191,CENTRO,OLHO D AGUA DAS FLORES,OLHO D AGUA DAS FLORES,AL,57442970
1791,AL,2705507,AC MURICI,AVENIDA PRESIDENTE VARGAS,0,23,CENTRO,MURICI,MURICI,AL,57820970
1839,AL,2705408,AC MONTEIROPOLIS,RUA SAO SEBASTIAO,0,1,CENTRO,MONTEIROPOLIS,MONTEIROPOLIS,AL,57440970
1765,AL,2705200,AC MESSIAS,RUA ROSALVO CALHEIROS MELO,0,141,CENTRO,MESSIAS,MESSIAS,AL,57990970
1764,AL,2705101,AC MATRIZ DE CAMARAGIBE,RUA CAPITAO JOSE DE BARROS PIMENTEL,0,137,CENTRO,MATRIZ DE CAMARAGIBE,MATRIZ DE CAMARAGIBE,AL,57910970
1788,AL,2705002,AC MATA GRANDE,RUA SIQUEIRA CAMPOS,0,,CENTRO,MATA GRANDE,MATA GRANDE,AL,57540970
1842,AL,2704807,AC MARIBONDO,RUA DO COMERCIO,0,474,CENTRO,MARIBONDO,MARIBONDO,AL,57670970
1786,AL,2704708,AC MARECHAL DEODORO,RUA DOUTOR LADISLAU NETO,0,,CENTRO,MARECHAL DEODORO,MARECHAL DEODORO,AL,57160970
1838,AL,2704609,AC MARAVILHA,PRACA PEDRO FERNANDO BRANDAO ALCANTARA,0,65,CENTRO,MARAVILHA,MARAVILHA,AL,57520970
1784,AL,2704500,AC MARAGOGI,RUA LUIZ HOLANDA CAVALCANTE,0,61,CENTRO,MARAGOGI,MARAGOGI,AL,57955970
1787,AL,2704906,AC MAR VERMELHO,RUA CORONEL ALVARO ALMEIDA,0,60,CENTRO,MAR VERMELHO,MAR VERMELHO,AL,57730970
59406,AL,2701407,AC LUZIAPOLIS,AVENIDA EUGENIA ALBUQUERQUE,0,28,SANTA LUZIA (LUZIAPOLIS),CAMPO ALEGRE,CAMPO ALEGRE,AL,57254971
1823,AL,2704104,AC LAGOA DA CANOA,AVENIDA ANTONIO ALBUQUERQUE,0,16,CENTRO,LAGOA DA CANOA,LAGOA DA CANOA,AL,57330970
1778,AL,2704005,AC JUNQUEIRO,PRACA PADRE AURELIO GOES,0,32,CENTRO,JUNQUEIRO,JUNQUEIRO,AL,57270970
1761,AL,2703908,AC JUNDIA,RUA NOSSA SENHORA DA CONCEICAO,0,37,CENTRO,JUNDIA,JUNDIA,AL,57965970
1760,AL,2703809,AC JOAQUIM GOMES,RUA JOSE CORREIA DE ARAUJO,0,13,CENTRO,JOAQUIM GOMES,JOAQUIM GOMES,AL,57980970
1836,AL,2703700,AC JARAMATAIA,RUA DO COMERCIO,0,173,CENTRO,JARAMATAIA,JARAMATAIA,AL,57425970
1758,AL,2703601,AC JAPARATINGA,PRACA NOSSA SENHORA DAS CANDEIAS,0,172,CENTRO,JAPARATINGA,JAPARATINGA,AL,57950970
1757,AL,2703502,AC JACUIPE,RUA MIGUEL MORATO,0,447,CENTRO,JACUIPE,JACUIPE,AL,57960970
1835,AL,2703403,AC JACARE DOS HOMENS,RUA MONSENHOR FREITAS MACHADO,0,12,CENTRO,JACARE DOS HOMENS,JACARE DOS HOMENS,AL,57430970
1834,AL,2703304,AC INHAPI,PRACA DA MATRIZ,0,19,MONTE CASTELO,INHAPI,INHAPI,AL,57545970
1822,AL,2703205,AC IGREJA NOVA,PRACA SERGIO COSTA,0,45,CENTRO,IGREJA NOVA,IGREJA NOVA,AL,57280970
1785,AL,2703106,AC IGACI,PRACA ANTONIO TOLEDO,0,166,CENTRO,IGACI,IGACI,AL,57620970
1781,AL,2703007,AC IBATEGUARA,RUA DO COMERCIO,0,92,CENTRO,IBATEGUARA,IBATEGUARA,AL,57890970
1821,AL,2702900,AC GIRAU DO PONCIANO,AVENIDA TIRADENTES,0,499,PROGRESSO,GIRAU DO PONCIANO,GIRAU DO PONCIANO,AL,57360970
1756,AL,2702801,AC FLEXEIRAS,RUA CORONEL ALCANTARA,0,,CENTRO,FLEXEIRAS,FLEXEIRAS,AL,57995970
1820,AL,2702702,AC FELIZ DESERTO,PRACA DOMINGOS MENDES,0,65,CENTRO,FELIZ DESERTO,FELIZ DESERTO,AL,57220970
438419,AL,2702603,AC FEIRA GRANDE,AVENIDA TEIXEIRA DE FREITAS,0,,CENTRO,FEIRA GRANDE,FEIRA GRANDE,AL,57340970
38369,AL,2702553,AC ESTRELA DE ALAGOAS,PRACA LUIZ DUARTE,0,78,CENTRO,ESTRELA DE ALAGOAS,ESTRELA DE ALAGOAS,AL,57625971
1833,AL,2702504,AC DOIS RIACHOS,RUA MIGUEL VIEIRA DE NOVAIS,0,38,CENTRO,DOIS RIACHOS,DOIS RIACHOS,AL,57560970
1796,AL,2702405,AC DELMIRO GOUVEIA,RUA JOSE BONIFACIO,0,33,CENTRO,DELMIRO GOUVEIA,DELMIRO GOUVEIA,AL,57480970
1808,AL,2702355,AC CRAIBAS,RUA PEDRO GAMA,0,14,CENTRO,CRAIBAS,CRAIBAS,AL,57320970
1769,AL,2702306,AC CORURIPE,RUA LINDOLFO SIMOES,0,17,CENTRO,CORURIPE,CORURIPE,AL,57230970
1754,AL,2702207,AC COQUEIRO SECO,RUA JOAO NAVARRO,0,749,CENTRO,COQUEIRO SECO,COQUEIRO SECO,AL,57140970
1779,AL,2702108,AC COLONIA LEOPOLDINA,PRACA DOM PEDRO II,0,226,CENTRO,COLONIA LEOPOLDINA,COLONIA LEOPOLDINA,AL,57975970
1816,AL,2702009,AC COITE DO NOIA,RUA GOVERNADOR LUIZ CAVALCANTE,0,91,CENTRO,COITE DO NOIA,COITE DO NOIA,AL,57325970
1747,AL,2704302,AC CENTRAL MACEIO,RUA DO SOL,0,57,CENTRO,MACEIO,MACEIO,AL,57020970
1832,AL,2701803,AC CARNEIROS,RUA AGRIPINO DAMASCENO,0,30,CENTRO,CARNEIROS,CARNEIROS,AL,57535970
1768,AL,2701704,AC CAPELA,RUA DOUTOR HORACIO GOMES DE MELO,0,613,CENTRO,CAPELA,CAPELA,AL,57780970
1831,AL,2701605,AC CANAPI,RUA SONIA MALTA,0,10,CENTRO,CANAPI,CANAPI,AL,57530970
1813,AL,2701407,AC CAMPO ALEGRE,RUA SENADOR MAXIMO,0,126,CENTRO,CAMPO ALEGRE,CAMPO ALEGRE,AL,57252970
1859,AL,2701357,AC CAMPESTRE,RUA EPITACIO PESSOA,0,,CENTRO,CAMPESTRE,CAMPESTRE,AL,57968970
1777,AL,2701308,AC CAJUEIRO,RUA LUIS TEIXEIRA COSTA,0,181,CENTRO,CAJUEIRO,CAJUEIRO,AL,57770970
1830,AL,2701209,AC CACIMBINHAS,PRACA DEZENOVE DE SETEMBRO,0,135,CENTRO,CACIMBINHAS,CACIMBINHAS,AL,57570970
1775,AL,2701100,AC BRANQUINHA,CJ RES RAIMUNDO NOTATO LOPES  PLATOR III,QUADRA 07  LOTE 03 A,0,URBANO,BRANQUINHA,BRANQUINHA,AL,57830970
1759,AL,2701001,AC BOCA DA MATA,RUA VEREADOR ARTIDORIO PINTO DAMASO,0,20,CENTRO,BOCA DA MATA,BOCA DA MATA,AL,57680970
1774,AL,2700805,AC BELEM,RUA DO COMERCIO,0,123,CENTRO,BELEM,BELEM,AL,57630970
1755,AL,2700706,AC BATALHA,RUA PADRE DANIEL BEZERRA,0,39,CENTRO,BATALHA,BATALHA,AL,57420970
1750,AL,2700508,AC BARRA DE SANTO ANTONIO,AVENIDA BENEDITO CASADO,0,,CENTRO,BARRA DE SANTO ANTONIO,BARRA DE SANTO ANTONIO,AL,57925970
1751,AL,2700300,AC ARAPIRACA,PRACA LUIZ PEREIRA LIMA,0,,CENTRO,ARAPIRACA,ARAPIRACA,AL,57300970
1749,AL,2700201,AC ANADIA,RUA DOUTOR FERNANDES LIMA,0,105,CENTRO,ANADIA,ANADIA,AL,57660970
1814,AL,2709301,AC UNIAO DOS PALMARES,AVENIDA MONSENHOR CLOVIS DUARTE DE BARRO,0,2,CENTRO,UNIAO DOS PALMARES,UNIAO DOS PALMARES,AL,57800970
1809,AL,2708303,AC SAO JOSE DA LAJE,AVENIDA VALDEMAR PONTES,0,,CENTRO,SAO JOSE DA LAJE,SAO JOSE DA LAJE,AL,57860970
1826,AL,2708204,AC SAO BRAS,RUA SAO JOSE,0,2,CENTRO,SAO BRAS,SAO BRAS,AL,57380970
1801,AL,2707305,AC PORTO CALVO,RUA DOUTOR ANTONIO DORTA,0,16,CENTRO,PORTO CALVO,PORTO CALVO,AL,57900970
1854,AL,2704302,AC PONTA GROSSA,AVENIDA COMENDADOR GUSTAVO PAIVA,TERREO  LOJA 177 D,2990,MANGABEIRAS,MACEIO,MACEIO,AL,57037972
1794,AL,2706307,AC PALMEIRA DOS INDIOS,RUA DUQUE DE CAXIAS,0,181,CENTRO,PALMEIRA DOS INDIOS,PALMEIRA DOS INDIOS,AL,57600970
1841,AL,2706000,AC OLIVENCA,RUA PREFEITO GILBERTO CAVALCANTE,0,111,CENTRO,OLIVENCA,OLIVENCA,AL,57550970
1766,AL,2705606,AC NOVO LINO,RUA DO COMERCIO,0,288,CENTRO,NOVO LINO,NOVO LINO,AL,57970970
1824,AL,2704203,AC LIMOEIRO DE ANADIA,RUA SIQUEIRA CAMPOS,0,5,CENTRO,LIMOEIRO DE ANADIA,LIMOEIRO DE ANADIA,AL,57260970
38370,AL,2703759,AC JEQUIA DA PRAIA,TRAVESSA BOA VISTA,0,423,CENTRO,JEQUIA DA PRAIA,JEQUIA DA PRAIA,AL,57255970
1780,AL,2701902,AC CHA PRETA,RUA CORONEL PEDRO TEIXEIRA,0,215,CENTRO,CHA PRETA,CHA PRETA,AL,57760970
1815,AL,2701506,AC CAMPO GRANDE,AVENIDA LIBERDADE,0,13,CENTRO,CAMPO GRANDE,CAMPO GRANDE,AL,57350970
1829,AL,2700904,AC BELO MONTE,RUA CONEGO JASSON SOUTO,0,36,CENTRO,BELO MONTE,BELO MONTE,AL,57435970
1752,AL,2700409,AC ATALAIA,AVENIDA SILVESTRE PERICLES,0,622,CENTRO,ATALAIA,ATALAIA,AL,57690970
1748,AL,2700102,AC AGUA BRANCA,RUA DOUTOR MIGUEL TORRES,0,19,CENTRO,AGUA BRANCA,AGUA BRANCA,AL,57490970
2211,AM,1304302,AC URUCARA,RUA CORONEL DA PEDRO CUNHA,0,744,SAO JORGE,URUCARA,URUCARA,AM,69130970
2233,AM,1304237,AC TONANTINS,AVENIDA LEOPOLDO PERES,0,607,SANTO ANTONIO,TONANTINS,TONANTINS,AM,69685970
2223,AM,1304104,AC TAPAUA,AVENIDA DEPUTADO DANILO CORREA,0,,CENTRO,TAPAUA,TAPAUA,AM,69480970
59020,AM,1302603,AC STUDIO 5,AVENIDA RODRIGO OTAVIO,LOJAS 04  05  06,3555,CRESPO,MANAUS,MANAUS,AM,69073177
2210,AM,1304005,AC SILVES,RUA CORONEL GARCIA,0,243,CENTRO,SILVES,SILVES,AM,69114970
38287,AM,1302603,AC SHOPPING SAO JOSE,AVENIDA COSME FERREIRA,SALA 01,4605,SAO JOSE OPERARIO,MANAUS,MANAUS,AM,69085015
2226,AM,1302603,AC SAO JOSE OPERARIO,AVENIDA AUTAZ MIRIM,PISO 1  LJ 228 E 229  SHOP CIDADE LESTE,282,TANCREDO NEVES,MANAUS,MANAUS,AM,69087970
38284,AM,1302603,AC RODOVIARIA DE MANAUS,AVENIDA DESEMBARGADOR JOAO MACHADO,0,4922,ALVORADA,MANAUS,MANAUS,AM,69042360
2199,AM,1303536,AC PRESIDENTE FIGUEIREDO,RUA TABOCA,0,,CENTRO,PRESIDENTE FIGUEIREDO,PRESIDENTE FIGUEIREDO,AM,69735970
2266,AM,1302603,AC PARQUE DEZ DE NOVEMBRO,RUA ALVARO BRAGA,0,645,PARQUE 10 DE NOVEMBRO,MANAUS,MANAUS,AM,69055660
38282,AM,1302603,AC PAC PORTO,RUA MIRANDA LEAO,GALERIA DOS REMEDIOS  TERREO,82,CENTRO,MANAUS,MANAUS,AM,69005040
2195,AM,1303205,AC NOVO AIRAO,AVENIDA JOAO PAULO I,0,32,CENTRO,NOVO AIRAO,NOVO AIRAO,AM,69730970
2209,AM,1303007,AC NHAMUNDA,RUA NELSON DE MELO,0,7,CENTRO,NHAMUNDA,NHAMUNDA,AM,69140970
2265,AM,1302603,AC MONSENHOR COUTINHO,RUA DO CONGRESSO,0,90,CENTRO,MANAUS,MANAUS,AM,69010970
2220,AM,1302702,AC MANICORE,RUA EDUARDO RIBEIRO,0,906,CENTRO,MANICORE,MANICORE,AM,69280970
2218,AM,1302504,AC MANACAPURU,BOULEVARD PEDRO RATTES,0,347,APARECIDA,MANACAPURU,MANACAPURU,AM,69400970
2207,AM,1302009,AC ITAPIRANGA,RUA MARIO BARBOSA,0,207,CENTRO,ITAPIRANGA,ITAPIRANGA,AM,69120970
2274,AM,1301852,AC IRANDUBA,TRAVESSA MATRINCHA,0,3,CENTRO,IRANDUBA,IRANDUBA,AM,69415970
2253,AM,1301704,AC HUMAITA,RUA PADRE JOSE DE SOUZA PENA,0,1613,SAO PEDRO,HUMAITA,HUMAITA,AM,69800970
2252,AM,1301407,AC EIRUNEPE,RUA FELIPE CUNHA,0,151,CENTRO,EIRUNEPE,EIRUNEPE,AM,69880970
2264,AM,1302603,AC COMPENSA,AVENIDA BRASIL,0,1325,COMPENSA,MANAUS,MANAUS,AM,69036971
2262,AM,1302603,AC CACHOEIRINHA,AVENIDA SILVES,0,363,CACHOEIRINHA,MANAUS,MANAUS,AM,69065970
2215,AM,1300805,AC BORBA,RUA MARECHAL FLORIANO PEIXOTO,0,116,CENTRO,BORBA,BORBA,AM,69200970
2241,AM,1300631,AC BERURI,AV VICENTE GOMES,0,6,CENTRO,BERURI,BERURI,AM,69430970
2214,AM,1300300,AC AUTAZES,RUA DO ENGENHO,0,37,CENTRO,AUTAZES,AUTAZES,AM,69240970
2213,AM,1300102,AC ANORI,RUA MANOEL PINTO BRANDAO,0,,CENTRO,ANORI,ANORI,AM,69440970
2268,AM,1302603,AC ANDRE ARAUJO,AVENIDA ANDRE ARAUJO,LOJA 1 TERREO ED FORUM BUSINESS CENTER,97,ADRIANOPOLIS,MANAUS,MANAUS,AM,69057970
2245,AM,1300086,AC ANAMA,RUA ALVARO MAIA,0,,CENTRO,ANAMA,ANAMA,AM,69445970
2251,AM,1300029,AC ALVARAES,AVENIDA SETE DE SETEMBRO,0,77,CENTRO,ALVARAES,ALVARAES,AM,69540970
2202,AM,1303809,AC SAO GABRIEL DA CACHOEIRA,AVENIDA 31  DE  MARCO,0,635,CENTRO,SAO GABRIEL DA CACHOEIRA,SAO GABRIEL DA CACHOEIRA,AM,69750970
2232,AM,1303700,AC SANTO ANTONIO DO ICA,AVENIDA COSTA E SILVA,0,470,CENTRO,SANTO ANTONIO DO ICA,SANTO ANTONIO DO ICA,AM,69680970
2197,AM,1303601,AC SANTA ISABEL DO RIO NEGRO,AVENIDA DOM PEDRO MASSA,0,,CENTRO,SANTA ISABEL DO RIO NEGRO,SANTA ISABEL DO RIO NEGRO,AM,69740970
2198,AM,1302603,AC SALDANHA MARINHO,RUA BARROSO,0,226,CENTRO,MANAUS,MANAUS,AM,69010972
38282,AM,1302603,AC PAC PORTO,RUA MIRANDA LEAO,GALERIA DOS REMEDIOS  TERREO,82,CENTRO,MANAUS,MANAUS,AM,69005040
2221,AM,1303106,AC NOVA OLINDA DO NORTE,RUA 07 DE SETEMBRO,0,100,CENTRO,NOVA OLINDA DO NORTE,NOVA OLINDA DO NORTE,AM,69230970
55906,AM,1302603,AC MILLENNIUM CENTER,AVENIDA DJALMA BATISTA,0,1661,CHAPADA,MANAUS,MANAUS,AM,69050970
2255,AM,1302405,AC LABREA,RUA CAMILO MORATO,0,1885,CENTRO,LABREA,LABREA,AM,69830970
2225,AM,1301902,AC ITACOATIARA,AVENIDA PARQUE,0,371,CENTRO,ITACOATIARA,ITACOATIARA,AM,69100970
2276,AM,1302603,AC CIDADE NOVA,AVENIDA NOEL NUTELS,CONJUNTO CIDADE NOVA 1 ETAPA,669,CIDADE NOVA,MANAUS,MANAUS,AM,69095000
2216,AM,1301100,AC CAREIRO,AVENIDA AIRTON SENA,0,287,VISTA ALEGRE,CAREIRO,CAREIRO,AM,69250970
3066,AM,2906899,AC CARAIBAS,RUA BEIRA RIO,0,,CENTRO,CARAIBAS,CARAIBAS,BA,45177970
2256,AM,1300706,AC BOCA DO ACRE,RUA CECILIA LEITE,SETOR 01 QUADRA 12 LOTE 05 UNIDADE 02,238,PLATO DO PIQUIA,BOCA DO ACRE,BOCA DO ACRE,AM,69850970
2267,AM,1300680,AC BOA VISTA DO RAMOS,RUA EMANUEL MAFRA,0,333,CENTRO,BOA VISTA DO RAMOS,BOA VISTA DO RAMOS,AM,69195970
2219,AM,1300607,AC BENJAMIN CONSTANT,AVENIDA CASTELO BRANCO,0,386,CENTRO,BENJAMIN CONSTANT,BENJAMIN CONSTANT,AM,69630970
55304,AP,1600709,AC TARTARUGALZINHO,RUA MAE VERONICA,0,222,CENTRO,TARTARUGALZINHO,TARTARUGALZINHO,AP,68990970
55270,AP,1600600,AC SANTANA,AVENIDA CASTRO ALVES,0,1314,CENTRAL,SANTANA,SANTANA,AP,68925970
55309,AP,1600550,AC PRACUUBA,AVENIDA SAO PEDRO,ESQUINA COM A RUA ANTENOR MOURA,649,CENTRO,PRACUUBA,PRACUUBA,AP,68918970
55274,AP,1600535,AC PORTO GRANDE,TRAVESSA LOURENCO FRAZAO DE ARAUJO,0,552,CENTRO,PORTO GRANDE,PORTO GRANDE,AP,68997970
55268,AP,1600501,AC OIAPOQUE,AVENIDA BARAO DO RIO BRANCO,0,261,CENTRO,OIAPOQUE,OIAPOQUE,AP,68980970
55273,AP,1600402,AC MAZAGAO,RUA VEIGA CABRAL,0,1010,MAZAGAO,MAZAGAO,MAZAGAO,AP,68940970
55263,AP,1600303,AC MACAPA,AVENIDA CORIOLANO JUCA,0,125,CENTRAL,MACAPA,MACAPA,AP,68906970
